state,2015,2016,2017,2018,2019,2020,2021,2022,2023
CA,145,224,272,268.0,190,152.0,193,104,74.0
NJ,110,100,104,105.0,114,78.0,109,141,74.0
OH,87,82,95,151.0,172,133.0,146,162,127.0
TX,70,98,117,129.0,125,76.0,84,128,103.0
IL,64,52,119,82.0,76,84.0,61,76,81.0
FL,51,58,62,66.0,76,56.0,30,37,48.0
NY,48,55,75,50.0,61,48.0,48,52,39.0
GA,42,50,67,77.0,86,38.0,53,45,22.0
WI,31,40,40,45.0,40,30.0,32,55,51.0
PA,30,53,47,55.0,46,31.0,33,65,46.0
WA,28,53,47,44.0,34,33.0,62,35,36.0
MO,23,25,33,29.0,49,29.0,31,42,29.0
MI,22,23,26,29.0,15,7.0,18,19,10.0
MA,21,38,48,53.0,51,37.0,39,52,35.0
CT,18,21,21,24.0,22,16.0,11,20,15.0
AL,17,25,28,25.0,36,30.0,19,33,18.0
VA,15,31,24,30.0,34,20.0,14,24,25.0
NV,12,7,10,20.0,10,19.0,19,23,23.0
OK,12,8,19,8.0,14,6.0,18,11,7.0
HI,12,5,4,19.0,17,5.0,7,5,5.0
NC,10,6,11,13.0,17,12.0,19,15,32.0
MN,9,5,6,13.0,11,5.0,7,19,5.0
NH,8,8,8,8.0,13,12.0,9,12,15.0
KS,8,12,14,20.0,20,22.0,39,28,10.0
PR,7,1,3,2.0,2,1.0,4,10,6.0
OR,7,1,2,12.0,9,3.0,2,12,4.0
WV,7,6,16,10.0,7,7.0,3,5,4.0
WY,7,5,5,4.0,2,1.0,2,2,
IA,6,12,2,16.0,23,19.0,20,32,10.0
IN,6,5,6,4.0,11,9.0,5,6,2.0
ME,6,8,10,4.0,8,4.0,4,13,12.0
SC,6,2,1,,2,1.0,2,2,
ND,5,1,3,2.0,3,9.0,7,9,14.0
MS,5,10,7,7.0,19,15.0,3,6,8.0
NE,4,10,11,8.0,11,6.0,2,8,11.0
DE,4,5,9,3.0,16,7.0,23,30,15.0
CO,4,8,1,15.0,10,9.0,16,32,14.0
RI,4,4,6,4.0,8,4.0,5,18,9.0
LA,4,9,12,6.0,9,8.0,10,12,9.0
KY,3,9,7,13.0,18,11.0,13,17,19.0
AR,3,9,15,13.0,10,20.0,16,19,24.0
VT,2,1,3,4.0,4,7.0,4,6,2.0
AK,2,6,8,,24,16.0,11,19,12.0
TN,2,3,2,13.0,16,6.0,10,16,8.0
NM,2,4,2,,1,3.0,8,6,3.0
MT,2,4,3,,1,,4,3,1.0
SD,1,2,7,3.0,2,4.0,1,6,10.0
MD,1,6,3,6.0,9,5.0,19,22,4.0
DC,1,3,5,1.0,2,,1,3,
AZ,1,1,3,2.0,7,3.0,1,1,2.0
